XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT3;HERKUNFT;PHI;LAMBDA
1716156,50360000;5955831,32840000;1;Fachbibliothek HeilPädagogik-Kinderbücherei;Kalvariengürtel 62;8020;Graz;+43(0)316/682596-160;Bibliothek;Stadt Graz - Stadtvermessung;47,084217;15,416496
1718871,78220000;5954165,43300000;2;Steiermärkisches Landesarchiv;Karmeliterplatz 3;8010;Graz;+43(0)316/877-4028;Bibliothek;Stadt Graz - Stadtvermessung;47,074028;15,440888
1718123,09180000;5955325,09870000;3;Studienbibliothek der Pädagogischen Hochschule;Theodor-Körner-Straße 38;8010;Graz;+43(0)316/8067-3710;Bibliothek;Stadt Graz - Stadtvermessung;47,081120;15,434162
1718431,49370000;5952929,15710000;4;Frauenbibliothek;Radetzkystraße 18;8010;Graz;-;Bibliothek;Stadt Graz - Stadtvermessung;47,066463;15,436933
1718677,86180000;5953933,37070000;5;Steirisches Volksliedwerk;Sporgasse 23;8010;Graz;+43(0)316/908635-52;Bibliothek;Stadt Graz - Stadtvermessung;47,072605;15,439146
1717151,70170000;5953871,93460000;6;Bibliothek der Arbeiterkammer;Hanuschgasse 3;8020;Graz;+43(0)5/7799-2371;Bibliothek;Stadt Graz - Stadtvermessung;47,072231;15,425436
1719719,47570000;5954998,32370000;7;Uni-Fachbibliotheken Anglistik, Geografie, Mathematik;Heinrichstraße 36;8010;Graz;+43(0)316/380-0;Bibliothek;Stadt Graz - Stadtvermessung;47,079121;15,448503
1720739,95580000;5953598,36430000;8;Uni-Fachbibliothek im Uni-Zentrum Wall;Merangasse 70;8010;Graz;+43(0)316/380-3621;Bibliothek;Stadt Graz - Stadtvermessung;47,070557;15,457670
1716695,22100000;5958850,58040000;9;Stadtbibliothek Andritz;Grazer Straße 54;8045;Graz;+43(0)316/692175;Bibliothek;Stadt Graz - Stadtvermessung;47,102684;15,421335
1717997,37830000;5955597,65050000;10;Stadtbibliothek Hasnerplatz;Hasnerplatz /Kiosk;8010;Graz;+43(0)316/675769;Bibliothek;Stadt Graz - Stadtvermessung;47,082787;15,433033
1718891,68610000;5953084,65740000;11;Bibliothek Frauengesundheitszentrum;Joanneumring 3;8010;Graz;+43(0)316/837998;Bibliothek;Stadt Graz - Stadtvermessung;47,067413;15,441067
1716782,21880000;5950534,47330000;12;Bibliothek kunstGarten;Payer-Weyprecht-Straße 27;8020;Graz;+43(0)316/262787;Bibliothek;Stadt Graz - Stadtvermessung;47,051807;15,422117
1721458,66080000;5954773,58580000;13;Bibliothek Odilieninstitut;Leonhardstraße 130;8010;Graz;+43(0)316/322667-774;Bibliothek;Stadt Graz - Stadtvermessung;47,077747;15,464127
1718610,71190000;5953229,54850000;14;Steiermärkische Landesbibliothek;Kalchberggasse 2;8010;Graz;+43(0)316/877-4600;Bibliothek;Stadt Graz - Stadtvermessung;47,068302;15,438542
1713878,48330000;5954375,15530000;15;Fachbibliothek für Religionspädagogik;Georgigasse 85;8020;Graz;+43(0)316/581670;Bibliothek;Stadt Graz - Stadtvermessung;47,075310;15,396032
1718967,16210000;5953843,23750000;16;Bibliothek des Priesterseminars;Bürgergasse 2;8010;Graz;+43(0)316/8042-0;Bibliothek;Stadt Graz - Stadtvermessung;47,072056;15,441745
1718676,90710000;5953636,30810000;17;Ludovico, Kinderliteratur und Spiele;Herrengasse 3;8010;Graz;+43(0)316/850084;Bibliothek;Stadt Graz - Stadtvermessung;47,070789;15,439137
1719847,26330000;5954733,34280000;18;Universitätsbibliothek Graz;Universitätsplatz 3;8010;Graz;+43(0)316/380-3100;Bibliothek;Stadt Graz - Stadtvermessung;47,077499;15,449651
1719709,68000000;5954013,53930000;19;Universitätsbibliothek der Universität f. Musik u. darstellende Kunst;Brandhofgasse 17;8010;Graz;+43(0)316/389-0;Bibliothek;Stadt Graz - Stadtvermessung;47,073097;15,448415
1719500,31700000;5953161,76820000;20;IFZ-Bibliothek (Interdisziplinäres Forschungszentrum Technik, Arbeit, Kultur);Schlögelgasse 2;8010;Graz;+43(0)316/813909;Bibliothek;Stadt Graz - Stadtvermessung;47,067886;15,446534
