XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1717869,70550000;5950102,79010000;1;St‰dt. Hort Dornschneidergasse;Dornschneidergasse 39;8020;Graz;+43(0)316/872-2717;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,049164;15,431886
1714357,66200000;5948232,65090000;2;St‰dt. Hort Harter Straﬂe;Harter Straﬂe 175;8054;Graz;+43(0)316/872-2708;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,037716;15,400337
1712957,43350000;5949734,01330000;3;‹bungshort der BBA f¸r Kindergartenp‰d.;Grottenhofstraﬂe 150/Haus1;8052;Graz;+43(0)316/284269-13;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,046909;15,387758
1721818,12170000;5945793,57920000;4;St‰dt. Hort Kloiberweg;Kloiberweg 1;8041;Graz;+43(0)316/872-2712;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,022781;15,467356
1717255,40910000;5945951,57050000;5;St‰dt. Hort Nippelgasse, Puntigam;Nippelgasse 14;8055;Graz;+43(0)316/872-2713;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,023750;15,426368
1718581,03460000;5951929,86640000;6;St‰dt. Hort Pestalozzistraﬂe;Pestalozzistraﬂe 59;8010;Graz;+43(0)316/872-2705;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,060349;15,438276
1714187,18980000;5950433,78840000;7;St‰dt. Hort Peter Roseggerstraﬂe;Peter-Rosegger-Straﬂe 98;8052;Graz;+43(0)316/872-2718;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,051189;15,398806
1721268,19250000;5953026,35300000;8;St‰dt. Hort Pl¸ddemanngasse;Pl¸ddemanngasse 27a;8010;Graz;+43(0)316/872-2711;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,067059;15,462416
1718369,90770000;5953968,14430000;9;St‰dt. Hort Sackstraﬂe;Sackstraﬂe 20;8010;Graz;+43(0)316/872-2715;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,072819;15,436379
1716127,96470000;5955937,95350000;10;Hort des Landes Steiermark;Kalvarieng¸rtel 64;8020;Graz;+43(0)316/672136-13;Kinderbetreuung;Hort;Stadt Graz - Stadtvermessung;47,084869;15,416240
