XCoord;YCoord;NR;ADRESSE;TIEFE_M;GOK;AUFNDATUM;HERKUNFT;PHI;LAMBDA
1718769,282;5943454,122;3462;Lebern (LB15);25;340,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,008453;15,439967
1721499,887;5943545,243;3467;Thondorf (TB10);20;329,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,009014;15,464497
1719912,661;5943706,536;3465;Lebern (LB8);20;331;31.12.1899;Stadt Graz - Stadtvermessung;47,010002;15,450238
1721306,142;5943854,404;3466;Thondorf (TB9);20;329;31.12.1899;Stadt Graz - Stadtvermessung;47,010906;15,462756
1718864,387;5943972,132;3461;Lebern (LB7);25;340,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,011627;15,440822
1719433,1;5944298,788;3463;Lebern (FB4);20;333,600006;31.12.1899;Stadt Graz - Stadtvermessung;47,013626;15,44593
1718027,661;5944423,636;3460;Seiersberg-Mitterstr. 214-östl. (SB1);25;343,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,014393;15,433305
1721730,561;5944527,354;3457;Thondorf/A2-Autobahn/Graben (G45B);1,9;337,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,015026;15,466569
1722479,201;5944614,968;3458;A2-Autobahn/Liebenauerhauptstr.-West (G44S);0,3;335,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,015564;15,473294
1722521,573;5944622,78;3459;A2-Autobahn/Liebenauerhauptstr.-Ost (G44B);4,9;334,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,015614;15,473675
1720235,799;5944653,036;3464;Lebern (LB5);20;330,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,015797;15,453141
1714404,586;5944877,393;3282;Bahnhofstr. 8a-Süd (B10a-e);0,2;348,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,01717;15,400759
1720944,902;5945003,236;3441;Eintrachtg. 77 (E74);0,3;334;31.12.1899;Stadt Graz - Stadtvermessung;47,017944;15,459511
1716020,018;5944959,754;3367;Rupertweg 2 (R2);0,6;345,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,017677;15,41527
1724256,548;5945067,699;3480;Autobahnknoten-Graz-Ost (KGOI);12,8;340,600006;31.12.1899;Stadt Graz - Stadtvermessung;47,018337;15,48926
1714409,375;5944967,042;3281;Bahnhofstr. 8a-Nord (B10a-e);0,2;348,5;31.12.1899;Stadt Graz - Stadtvermessung;47,017719;15,400802
1723716,9;5945104,422;3470;Thondorf - Südautobahn (G43Bb);11;347,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,018562;15,484412
1723759,069;5945131,319;3471;Thondorf - Südautobahn (G43B);3,8;347,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,018726;15,484791
1723796,894;5945153,763;3472;Thondorf - Südautobahn (G43Ba);14,6;347;31.12.1899;Stadt Graz - Stadtvermessung;47,018864;15,485131
1724003,838;5945161,892;3479;Autobahnknoten-Graz-Ost (KGO/2B);12,7;341,5;31.12.1899;Stadt Graz - Stadtvermessung;47,018913;15,48699
1714236,633;5945075,126;4290;Kärntnerstr. 451;1;351,200012;07.08.1999;Stadt Graz - Stadtvermessung;47,018383;15,39925
1722235,645;5945193,884;4501;Liebenauer Hauptstraße;2,7;331,5;23.11.2001;Stadt Graz - Stadtvermessung;47,019112;15,471106
1714236,107;5945119,182;4289;Kärntnerstr. 446 gegenüber;1;351,299988;07.08.1999;Stadt Graz - Stadtvermessung;47,018654;15,399245
1714139,582;5945122,429;4696;Kärntnerstrasse;1;360,700012;04.12.2005;Stadt Graz - Stadtvermessung;47,018673;15,398377
1721583,433;5945252,727;3436;Wilh.-Rosche-G. 24 (Puchwerk);20;332,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,01947;15,465247
1714721,809;5945646,422;4118;Gradnerstr. 82- gegenüber;3,8;348,899994;29.06.1995;Stadt Graz - Stadtvermessung;47,021881;15,403608
1714467,143;5945649,251;3280;Gradnerstr. 197-S-Seite (G197);1,9;349,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,0219;15,40132
1719096,49;5945704,927;3420;Rudersdorferstr.110;0,1;337,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,02224;15,442906
1722219,622;5945718,072;3454;Liebenauerhauptstr. 287-O-Eck (L237-5);0,2;339,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,02232;15,470963
1718672,288;5945730,909;4287;Feldkirchnerweg NE von 65;1;339,100006;07.08.1999;Stadt Graz - Stadtvermessung;47,0224;15,439095
1721216,573;5945786,215;4135;Kloiberweg 41;2,5;334,600006;29.09.1995;Stadt Graz - Stadtvermessung;47,022739;15,461951
1715280,445;5945719,176;3288;Kudlichweg 21 (K21);0;347,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,022327;15,408627
1717193,353;5945796,043;3413;Gradnerstr.28(N/G1);0,3;347,600006;31.12.1899;Stadt Graz - Stadtvermessung;47,022797;15,425811
1717272,226;5945813,12;3414;Nippelg.18(N/G-2);0,3;347,5;31.12.1899;Stadt Graz - Stadtvermessung;47,022903;15,426518
1717449,364;5945816,651;3416;Gradnerstr. 15;0,4;348;31.12.1899;Stadt Graz - Stadtvermessung;47,022923;15,42811
1717243,949;5945852,45;3415;Nippelg.14/18(N/G-3);0,1;347,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,023144;15,426265
1717921,995;5945946,992;4320;KB-G29/97 Gradnerstr.Verlängerung;15;344,600006;23.02.1998;Stadt Graz - Stadtvermessung;47,023724;15,432356
1718072,093;5945972,231;4321;KB-G30/97 Gradnerstr.Verlängerung Bahnübergang;22;345,100006;11.02.1998;Stadt Graz - Stadtvermessung;47,023876;15,433704
1717999,079;5946018,391;4318;KB-G27/97 Bahnübergang Gradnerstr.Verlängerunge;23;344,899994;17.02.1998;Stadt Graz - Stadtvermessung;47,024158;15,433048
1721797,626;5946061,509;4190;Liebenauer Hauptstr. 254 gegenüber;2;338;13.09.1997;Stadt Graz - Stadtvermessung;47,024422;15,467172
1721884,648;5946084,511;4130;Liebenauer Hauptstr. 256;2;340;14.11.1995;Stadt Graz - Stadtvermessung;47,024563;15,467953
1718095,06;5946050,348;4319;KB-G28/97 Bahnübergang Gradnerstr.Verlängerung;22;344,700012;17.02.1998;Stadt Graz - Stadtvermessung;47,024357;15,43391
1720859,549;5946090,676;3434;Hortg.32;0,45;333,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,024601;15,458744
1723676,516;5946127,759;3474;Autobahnzubringer-Ost-südl. (ZGO3Bb);11;344,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,02483;15,48405
1720927,937;5946129,636;3435;Hortg. 36;0,45;333,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,024841;15,459358
1714288,672;5946077,493;4127;Kärntnerstr. 398;3,7;351,100006;29.09.1995;Stadt Graz - Stadtvermessung;47,024521;15,399717
1714992,017;5946087,372;4627;Hafnerstraße/GKB;2,1;348,200012;16.05.2004;Stadt Graz - Stadtvermessung;47,024582;15,406035
1718774,921;5946168,349;3442;Mälzerweg 42-Ostseite (M42);0;339;31.12.1899;Stadt Graz - Stadtvermessung;47,025078;15,440018
1715398,358;5946137,741;4038;Hafnerstr. 158 - südl. (H158);0,3;348,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,024891;15,409686
1717790,129;5946170,207;4128;Mitterstr. 20;2,5;345,600006;29.09.1995;Stadt Graz - Stadtvermessung;47,025089;15,431171
