XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1715856,51250000;5948741,66370000;1;Polizei-Inspektion K‰rntnerstraﬂe;K‰rntner Straﬂe 207c;8053;Graz;+43(0)59/133-6586;Einsatzkr‰fte & Notdienste;Polizei;Stadt Graz - Stadtvermessung;47,040833;15,413801
1716884,35690000;5958954,25910000;2;Polizei-Inspektion Andritz;Andritzer Reichsstraﬂe 38;8045;Graz;+43(0)59/133-6581/100;Einsatzkr‰fte & Notdienste;Polizei;Stadt Graz - Stadtvermessung;47,103317;15,423035
1717508,93040000;5954589,75790000;3;Polizei-Inspektion Lendplatz;Lendplatz 21;8020;Graz;+43(0)59/133-6587/100;Einsatzkr‰fte & Notdienste;Polizei;Stadt Graz - Stadtvermessung;47,076622;15,428645
1717716,75710000;5952296,90320000;4;Polizei-Inspektion Karlauerstraﬂe;Karlauerstraﬂe 14;8020;Graz;+43(0)59/133-6585/100;Einsatzkr‰fte & Notdienste;Polizei;Stadt Graz - Stadtvermessung;47,062592;15,430512
1720491,67540000;5951050,31840000;5;÷sterr. Rotes Kreuz, Bezirksstelle Graz-Stadt;M¸nzgrabenstraﬂe 151;8010;Graz;+43(316)471555...-0;Einsatzkr‰fte & Notdienste;Rotes Kreuz;Stadt Graz - Stadtvermessung;47,054966;15,455440
1722316,17320000;5951312,92810000;6;÷sterr. Jugendrotkreuz;St.-Peter-Hauptstraﬂe 30a;8042;Graz;+43(0)316/482323-0;Einsatzkr‰fte & Notdienste;Rotes Kreuz;Stadt Graz - Stadtvermessung;47,056572;15,471829
1713961,50590000;5948226,83520000;7;÷sterr. Rotes Kreuz, Landesleitstelle;Straﬂganger Straﬂe 384;8054;Graz;+43(0)316/;Einsatzkr‰fte & Notdienste;Rotes Kreuz;Stadt Graz - Stadtvermessung;47,037682;15,396778
1720288,13640000;5954137,55670000;8;÷sterr. Rotes Kreuz;Merangasse 26;8010;Graz;+43(0)316/3601;Einsatzkr‰fte & Notdienste;Rotes Kreuz;Stadt Graz - Stadtvermessung;47,073856;15,453611
1714418,90520000;5953274,66970000;9;Polizei-Inspektion Eggenberg;Eckertstraﬂe 66;8020;Graz;+43(0)59/133-6582/100;Einsatzkr‰fte & Notdienste;Polizei;Stadt Graz - Stadtvermessung;47,068577;15,400887
1718450,17980000;5952930,61750000;10;÷sterr. Bergrettungsdienst;Radetzkystraﬂe 16;8010;Graz;+43(0)316/830102;Einsatzkr‰fte & Notdienste;Bergrettung;Stadt Graz - Stadtvermessung;47,066471;15,437100
