XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT3;HERKUNFT;PHI;LAMBDA
1718786,71630000;5954039,80870000;1;Landesverband Steirische Pfadfinder und Pfadfinderinnen;Ballhausgasse 1;8010;Graz;+43(0)316/842176 ;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,073257;15,440124
1720520,46310000;5953327,71210000;2;Medienwerkstatt Graz;NibelungengaSSE 26;8010;Graz;+43(0)644/5706163;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,068901;15,455698
1719007,14670000;5953523,35470000;3;Katholische Jugend Diözese Graz-Seckau;Bischofplatz 4;8010;Graz;+43(0)316/8041-275;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,070099;15,442104
1714582,25090000;5944858,24440000;4;CVJM Christilicher Verein junger Menschen;Josef-Steinberger-Weg 133.Stock;8054;Graz;+43(0)316/471110;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,017056;15,402354
1718475,08860000;5953011,13620000;5;Kinder Studio;Kaiserfeldgasse 25;8010;Graz;+43(0)316/872-3191 oder -3194;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,066963;15,437325
1716206,34220000;5951378,22210000;6;Pfadfindergruppe Graz 10;Südbahnstraße 100;8020;Graz;+43(0)6603130375;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,056973;15,416944
1714222,36540000;5947463,02350000;7;Pfadfindergruppe Graz 10;Straßganger Straße 436/neben OMV;8054;Graz;+43(0)6603130375;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,033005;15,399121
1719741,30350000;5954445,00760000;8;BASE- Nachhilfe für alle Gegenstände;Zinzendorfgasse 21;8010;Graz;+43(0)316/822385;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,075737;15,448699
1717987,01530000;5953367,86870000;9;JAM Mädchenzentrum;Arche Noah 9-11;8020;Graz;-;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,069145;15,432940
1716257,14240000;5954739,77300000;10;Jugendkulturzentrum Explosiv;Bahnhofgürtel 55a;8020;Graz;+43(0)676/3478024;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,077541;15,417400
1717664,67120000;5953870,27290000;11;Jugendzentrum YAP;Orpheumgasse 8/Nebengebäude;8020;Graz;+43(0)316/872-3190;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,072220;15,430044
1719210,82210000;5954750,45890000;12;kids united;Glacisstraße 1;8010;Graz;+43(0)316/347802;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,077606;15,443933
1720364,11880000;5948448,18000000;13;WIKI KinderbetreuungsGmbH;Ziehrerstraße 83;8041;Graz;+43(0)316/426565;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,039036;15,454294
1717501,61870000;5953419,52960000;14;Interkulturelle & mobile Jugendarbeit, ISOP;Dreihackengasse 2/III;8020;Graz;+43(0)316/764646;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,069462;15,428579
1720992,86400000;5953195,32950000;15;Atelier Blasio;Ruckerlberggürtel 25/1;8010;Graz;+43(0)664/3963085;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,068092;15,459942
