XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1715274,51960000;5957176,38660000;1;Städt. Kindergarten Schippingerstraße;Schippingerstraße 17;8051;Graz;+43(0)316/872-2634;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,092445;15,408573
1719494,65670000;5953201,94530000;2;Evangelischer Kindergarten Heilandskirche;Kaiser-Josef-Platz 8/1;8010;Graz;+43(0)316/847042;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,068130;15,446484
1714668,15390000;5953281,08990000;3;Städt. Kindergarten Gaswerkstraße;Gaswerkstraße 13;8020;Graz;+43(0)316/872-2610;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,068615;15,403126
1714357,92830000;5948210,30110000;4;Städt. Kindergarten Harter Straße;Harter Straße 175;8054;Graz;+43(0)316/872-2614;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,037579;15,400339
1717285,11010000;5955914,27430000;5;Creative Kinderwelt;Schwimmschulkai 92;8010;Graz;+43(0)316/678901;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,084724;15,426635
1720368,54630000;5949275,70450000;6;Krawuzi Kapuzi Wohlfühlkindergarten;Raiffeisenstraße 155;8041;Graz;+43(0)316/472238;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,044102;15,454333
1721219,25730000;5951462,03450000;7;Städt. Kindergarten Brucknerstraße;Brucknerstraße 55;8010;Graz;+43(0)316/872-2646;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,057484;15,461976
1719775,76930000;5951813,64670000;8;Volkshilfe Kindergarten Messequartier;Klosterwiesgasse 101aMessequartier;8010;Graz;-;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,059635;15,449009
1718013,81400000;5951668,37540000;9;Interkultureller Bildungsgarten;Schützgasse 20mehrsprachig;8020;Graz;+43(0)316/718998;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,058746;15,433181
1718185,38230000;5954539,80530000;10;Städt. Kindergarten Kaiser-Franz-Josef-Kai, Schloßberg;Kaiser-Franz-Josef-Kai 60;8010;Graz;+43(0)316/872-2635;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,076317;15,434722
1716696,70790000;5952918,66060000;11;Städt. Kindergarten Josef Huber Gasse;Josef-Huber-Gasse 38a;8020;Graz;+43(0)316/872-2616;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,066399;15,421349
1717690,06970000;5952463,52690000;12;Wiki Kindergarten GGZ;Albert-Schweitzer-Gasse 36;8010;Graz;+43(0)316/426565-131;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,063614;15,430272
1717628,45490000;5953467,53530000;13;Kath. Pfarrkindergarten St. Andrä;Kernstockgasse 9;8020;Graz;+43(0)316/711918-15;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,069756;15,429719
1720031,96290000;5955903,21660000;14;Städt. Kindergarten Rosenhain;Rosenhain 6;8010;Graz;+43(0)316/872-2632;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,084656;15,451310
1720040,91070000;5952986,52830000;15;Verein Regenbogenland;Mandellstraße 31;8010;Graz;+43(0)316/837502;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,066814;15,451390
1724988,57080000;5953560,77790000;16;Städt. Kindergarten Lustbühel;Lustbühelstraße 28;8042;Graz;+43(0)316/872-2620;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,070328;15,495836
1722030,57170000;5950303,47150000;17;Städt. Kindergarten Petrifelderstraße;Petrifelderstraße 39;8042;Graz;+43(0)316/872-2639;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,050392;15,469264
1722418,84270000;5951758,77560000;18;Kath. Pfarrkindergarten St. Paul;St.-Peter-Hauptstraße 35/Terrassenhaussiedlung;8042;Graz;+43(0)316/425111;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,059299;15,472752
1721206,60190000;5947688,45880000;19;Kath. Pfarrkindergarten St. Paul/Liebenau;Konrad-Hopferwieser-Gasse 6;8041;Graz;+43(0)316/475679;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,034386;15,461862
1721235,31900000;5953013,41530000;20;Städt. Kindergarten Plüddemanngasse;Plüddemanngasse 28;8010;Graz;+43(0)316/872-2627;Kinderbetreuung;Kindergarten;Stadt Graz - Stadtvermessung;47,066978;15,462120
