XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;ORT;KAT3;HERKUNFT;PHI;LAMBDA
1721958,51930000;5955361,05020000;1;(PH) LKH;Stiftingtalstraße 30;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,081341;15,468616
1717906,44080000;5952791,90220000;2;(PP) Griesplatz;Griesplatz 7;Graz;Parkplatz;Stadt Graz - Stadtvermessung;47,065624;15,432216
1717746,05070000;5953801,92210000;3;(PH) Orpheum;St. Georgen Gasse 10;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,071804;15,430776
1718061,83990000;5953499,91630000;4;(PH) Griesgasse;Griesgasse 10;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,069954;15,433612
1716533,99390000;5955946,77540000;5;(PH) Austeingasse;Austeingasse 30;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,084923;15,419888
1717725,16970000;5955627,46840000;6;(PH) Körösistraße;Körösistraße 67;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,082970;15,430588
1717584,80040000;5953012,93610000;7;(PH) Rösselmühlgasse;Rösselmühlgasse 12;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,066975;15,429327
1717482,48040000;5952865,12710000;8;(PH) Am Rösselmühlpark;Dreihackengasse 42;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,066071;15,428408
1722123,11130000;5945125,03690000;9;(PH) Thondorf;Liebenauer Hauptstraße 316;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,018688;15,470095
1716117,81890000;5953433,77250000;10;(PH) GKB Center;Köflacher Gasse 3;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,069550;15,416148
1718238,70940000;5954162,07220000;11;(PH) Schloßberg;Sackstraße 29;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,074005;15,435201
1718917,68200000;5952829,96350000;12;(PH) Schönaugasse;Schönaugasse 6;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,065857;15,441300
1719520,04690000;5953099,89080000;13;(PH) Kaiser-Josef-Platz;Schlögelgasse 5;Graz;Parkhaus;Stadt Graz - Stadtvermessung;47,067509;15,446712
1721605,64890000;5952330,88170000;14;(PP) Plüddemanngasse (DM Markt);Plüddemanngasse 71;Graz;Parkplatz;Stadt Graz - Stadtvermessung;47,062801;15,465446
