XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1724186,05050000;5948062,08470000;1;Pflegezentrum Graz St.Peter;Anton-Jandl-Weg 21-23;8042;Graz;+43(0)316/402006;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,036674;15,488626
1721939,25770000;5954898,02320000;2;Annaheim der Kreuzschwestern;Riesstraﬂe 24;8010;Graz;+43(0)316/3605-0;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,078506;15,468444
1722242,05880000;5954995,18990000;3;Seniorenwohnungen, St. Christophorus;Riesstraﬂe 41;8047;Graz;+43(0)316/324166;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,079102;15,471164
1718042,67440000;5952752,26750000;4;Miteinander Leben, Lagergasse;Lagergasse 12;8020;Graz;+43(0)316/723233;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,065380;15,433440
1714420,77320000;5945604,73280000;5;Caritas Senioren- und Pflegeheim Straﬂgang;Aribonenstraﬂe 6;8054;Graz;+43(0)316/909501;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,021626;15,400904
1724215,17250000;5959488,32510000;6;Haus Mariatrost Nentwig GmbH;Kirchbergstraﬂe 1;8044;Graz;+43(0)316/391989;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,106583;15,488889
1713404,40300000;5953608,49910000;7;Seniorenwohnungen Haus am Park;Grasbergerstraﬂe 79;8020;Graz;+43(0)316/573993, +43(0)664/5231740;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,070618;15,391773
1717585,75220000;5957996,03860000;8;Haus St. Ulrich;Ulrichsweg 18;8045;Graz;+43(0)316/671765;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,097458;15,429336
1717678,15720000;5952466,06630000;9;Albert Schweitzer Hospiz;Albert-Schweitzer-Gasse 36a;8020;Graz;+43(0)316/7060-1999;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,063629;15,430165
1723215,60570000;5954884,15480000;10;Sinn Residenz Ragnitz;Ragnitzstraﬂe 60;8047;Graz;+43(0)316/303280;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,078423;15,479909
1713366,79320000;5953702,99360000;11;Volkshilfe Seniorenzentrum Haus-Eggenberg;Grasbergerstraﬂe 81;8020;Graz;+43(0)316/584630;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,071198;15,391436
1717512,93210000;5952462,00550000;12;Betreutes Wohnen am Oeverseepark;Albert-Schweitzer-Gasse 36;8020;Graz;+43(0)316/7060-1111;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,063602;15,428681
1717767,48800000;5955887,15170000;13;Pflegewohnheim Geidorf/Seniorenzentrum;Theodor-Kˆrner-Straﬂe 67;8010;Graz;+43(0)316/7060-2999;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,084560;15,430968
1722877,66310000;5950206,26160000;14;Caritas Senioren- und Pflegeheim Graz St.Peter;Hubertusstraﬂe 6;8042;Graz;+43(0)316/465235;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,049797;15,476873
1721173,75950000;5953866,49680000;15;Haus am Ruckerlberg, Wohnen und Pflege;Nibelungengasse 69;8010;Graz;+43(0)316/321608;Wohnen, Unterkunft & Heime;SeniorInnen;Stadt Graz - Stadtvermessung;47,072197;15,461567
