XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1718691,48390000;5953166,14520000;1;Abteilung für Informationsmanagement;Schmiedgasse 26;8010;Graz;+43(0)316/872-2400;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,067913;15,439268
1718680,40440000;5953566,87610000;2;Präsidialamt;Hauptplatz 1;8010;Graz;+43(0)316/872-2301;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070366;15,439169
1718589,89980000;5953542,09200000;3;Personalamt - A1;Hauptplatz 1;8010;Graz;+43(0)316/872-2500;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070213;15,438355
1718629,59990000;5953630,65710000;4;Bürgermeisteramt;Hauptplatz 1;8010;Graz;+43(0)316/872-2001;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070755;15,438712
1718675,49060000;5953554,68060000;5;Magistratsdirektion;Hauptplatz 1;8010;Graz;+43(0)316/872-2200;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070290;15,439125
1718464,86740000;5953006,59320000;6;Amt für Jugend und Familie - A6;Kaiserfeldgasse 25;8010;Graz;+43(0)316/872-3199;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,066936;15,437233
1718734,52180000;5953198,59340000;7;Gesundheitsamt - A7;Schmiedgasse 26;8010;Graz;+43(0)316/872-3200;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,068111;15,439655
1718592,97840000;5953576,87500000;8;Finanz- und Vermögensdirektion - A8;Hauptplatz 1;8010;Graz;+43(0)316/872-3300;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070427;15,438383
1718680,60870000;5953161,32110000;9;Abteilung für Gemeindeabgaben - A8/2;Schmiedgasse 26;8010;Graz;+43(0)316/872-3401;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,067883;15,439171
1719169,37910000;5952712,99740000;10;Abteilung für Rechnungswesen - A8/3;Grazbachgasse 39;8010;Graz;+43(0)316/872-4401;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,065140;15,443562
1718668,67940000;5953205,48470000;11;MigrantInnenbeirat der Stadt Graz, Geschäftsstelle;Schmiedgasse 26/Stiege III/P;8010;Graz;+43(0)316/872-3067;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,068153;15,439063
1718659,15750000;5952797,98270000;12;Stadtschulamt;Wielandgasse 7;8010;Graz;+43(0)316/872-7401;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,065659;15,438978
1718069,94980000;5953883,11660000;13;Amt für Wirtschafts- und Tourismusentwicklung - A15;Stigergasse 2;8020;Graz;+43(0)316/872-4800;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,072300;15,433685
1718081,31810000;5953900,01710000;14;Kulturamt - A16;Stigergasse 2;8020;Graz;+43(0)316/872-4900;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,072403;15,433787
1718763,42620000;5949600,05400000;15;Wirtschaftsbetriebe;Sturzgasse 5-7 ;8020;Graz;+43(0)316/872-7100;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,046089;15,439915
1719481,88450000;5951525,15710000;16;Graz Tourismus und Stadtmarketing Graz GmbH;Messeplatz 1;8010;Graz;+43(0)316/;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,057869;15,446368
1718082,23570000;5953892,90080000;17;Kunsthaus Graz GmbH;Stigergasse 2;8020;Graz;+43(0)316/;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,072357;15,433795
1718077,85090000;5953886,56170000;18;Graz 2003 Kulturhauptstadt;Stigergasse 2;8020;Graz;+43(0)316/;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,072319;15,433756
1718367,59970000;5953949,57810000;19;Stadtmuseum;Sackstraße 18;8010;Graz;+43(0)316/;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,072704;15,436358
1718901,15530000;5953315,75850000;20;Personalkoordination im Auftrag der Stadt Graz;Herrengasse 28;8010;Graz;+43(0)316/;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,068829;15,441152
1717613,95370000;5954402,86470000;21;Abteilung für Katastrophenschutz und Feuerwehr;Lendplatz 15-17;8020;Graz;+43(0)316/872-5800;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,075478;15,429588
1718688,01220000;5953214,94450000;22;ServiceCenter Innere Stadt;Schmiedgasse 26/Pt;8010;Graz;+43(0)316/872-5252;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,068211;15,439237
1721769,49550000;5955031,77070000;23;Servicestelle Stiftingtal;Stiftingtalstraße 3;8010;Graz;+43(0)316/872-6600;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,079327;15,466919
1718723,01240000;5953221,95640000;24;BürgerInnenamt - A2;Schmiedgasse 26;8010;Graz;+43(0)316/872-5201;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,068253;15,439551
1718726,46770000;5953192,86200000;25;Sozialamt - A5;Schmiedgasse 26/2.Stock;8010;Graz;+43(0)316/872-6400;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,068077;15,439583
1714380,49980000;5945902,46280000;26;Servicestelle Kärntner Straße;Kärntner Straße 411;8054;Graz;+43(0)316/872-6650;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,023449;15,400542
1718868,91280000;5953125,72050000;27;Standesamt Graz;Joanneumring 6;8010;Graz;+43(0)872/5520;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,067665;15,440862
1716868,45160000;5958951,40790000;28;Servicestelle Andritzer Reichstraße;Andritzer Reichsstraße 38;8045;Graz;+43(0)316/872-6620;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,103298;15,422892
1720875,20970000;5953254,17240000;29;Amt für Wohnungsangelegenheiten - A21;Schillerplatz 4;8010;Graz;+43(0)316/872-5401;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,068451;15,458885
1716439,83440000;5953664,13150000;30;Stadtvermessungsamt - A10/6;Europaplatz 20;8020;Graz;+43(0)316/872-4101;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070961;15,419042
1716461,32080000;5953668,82970000;31;Abteilung für Verkehrsplanung - A10/8;Europaplatz 20;8020;Graz;+43(0)316/872-2881;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,070988;15,419234
1719110,27410000;5953449,04740000;32;Abteilung für Liegenschaftsverkehr - A8/4;Tummelplatz 9;8010;Graz;+43(0)316/872-2901;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,069645;15,443030
1718633,94280000;5953094,30660000;33;Abteilung für Liegenschaftsverwaltung - A8/5;Kaiserfeldgasse 17;8010;Graz;+43(0)316/872-4500;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,067474;15,438751
1716448,71490000;5953675,14660000;34;Stadtbaudirektion - A10;Europaplatz 20;8020;Graz;+43(0)316/872-3500;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,071026;15,419121
1716386,67270000;5953673,88800000;35;Straßenamt - A10/1;Europaplatz 20;8020;Graz;+43(0)316/872-3601;Verwaltung & Behörden;Stadt Graz;Stadt Graz - Stadtvermessung;47,071018;15,418564
